indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.64,12.54,6.16,0.25,0,106,37.6,74.3,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,53,32.4,1.17,Hermetic Vacuum Strip Heat Seal,High Stiffness & Anti-Cracking,Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Fresh Okra (Bhindi),Fresh Horticultural Produce,E008,89.41,0.17,6.1,0.99,59.9,7,9.2,92.4,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled,High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,Monolayer: 25µm Blown PBAT/Cornstarch Matrix with 80µm micro-holes,27,10075.5,56.63,Heat Seal with Airflow Channels,Tear Resistant against Stem Puncture,Yes,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",Cl. 3(2) Fresh Produce Clean Contact Rules,"IS/ISO 17088, IS 9845",Non-toxic compostable matrix; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mater-Bi® VF04A (Novamont) / Bio-Flex®,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.87,12.42,6.12,0.25,0,126,37.2,43.9,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,59,17.6,1.33,Hermetic Vacuum Strip Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Traditional Mango Achar (In Mustard Oil),Spices & Condiments,Mango Mustard Oil Matrix,48.87,22.82,3.24,0.78,0,408,34.1,70.7,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,High Acid & Oil Resistant Biodegradable Spouted Pouch (AlOx-PLA / Bio-PBS),Triplex: 15µm AlOx-PLA / 20µm Bio-PBS / 60µm Acid-Resistant Bio-copolymer Sealant,117,0.8,0.86,Ultrasonic Spout Weld + Hermetic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Mustard Oil Seal Layer Headspace Exclusion,"Cl. 4(3) No corrosion / metal leaching in high acid & salt products (pH <3.5, Salt >12%)","IS/ISO 17088, IS 9845 (Simulant B & D)",Simulant B (3% Acetic Acid) & Simulant D; Zero delamination,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Heavy-Duty Barrier Laminate / BioPBS™ Acid-Shield,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar et al., CSIR-CFTRI Pickle Packaging"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,29.54,25.8,6.21,0.88,0,12,4.4,81.8,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,71,5,2.09,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Dahi (Indian Curd),Dairy Products,Fermented Milk,87.06,3.92,4.22,0.99,0,24,3.9,85.4,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,410,4,1.81,Thermal Conductive Peel Seal (105-120°C),Rigid Top-load Compressive Strength (>15 kgf),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,10.26,1.51,6.41,0.52,0,290,25.7,52.3,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,48,86.1,4.87,Continuous Band Heat Seal (110-125°C),High Dart Impact & Puncture Resistance against sharp dal edges,No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Cold-Pressed Mustard Oil (Kachi Ghani),Edible Vegetable Oils,Mustard Oil,0.1,99.78,6.51,0.2,0,288,27.8,53.9,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Amber Polyhydroxyalkanoate (PHA) Rigid Bottle or AlOx-PLA Bio-Pouch,Rigid: 320µm Dark Amber Biosynthesized Nodax™ PHA with UV Blockers,336,2.2,1.37,Induction Heat Seal Liner (Bio-PBS Wad) + Threaded Cap,High Hydrostatic Pressure & Burst Resistant (>200 kPa),Yes,Nitrogen Headspace Sparging (residual O2 < 0.5%),Cl. 5(1) & Schedule I (Edible Vegetable Oils & Fats),"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; Total Migration < 60 mg/kg; Zero erucic acid solvent interaction,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / BioPBS™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gopalakrishna et al., CSIR-CFTRI"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,31.11,27.25,6.24,0.88,0,12,5.9,87.4,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,81,4.2,2.32,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.42,1.67,6.33,0.58,0,148,26.6,69.4,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,106,280.6,4.96,Heat Sealable Bottom / Pinch Top Bio-Adhesive,High Drop Impact (>1.5m drop test for 5kg/10kg bags),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.8,12.42,6.11,0.25,0,137,30.7,73.7,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,51,26.7,1.35,Hermetic Vacuum Strip Heat Seal,High Stiffness & Anti-Cracking,Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Ground Turmeric (Haldi Powder),Spices & Condiments,F005,9.12,4.76,6.22,0.45,0,332,23.1,70.2,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,Triplex: 45gsm Bleached Kraft / 19µm Met-PLA (Light & Aroma Barrier) / 30µm Bio-PBS Sealant,86,1.1,0.42,Heat Seal with Resealable Bio-Zipper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air / N2 Flush,Cl. 5(2) (Spices & Condiments) - Protection from volatile oil loss & UV,"IS 10619, IS/ISO 17088, IS 9845",Zero light transmission below 450nm; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage Paper + BioPBS™ + NatureFlex™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.52,3.91,4.22,0.99,0,22,3.3,82.6,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,389,4.6,2.07,Thermal Conductive Peel Seal (105-120°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.45,12.6,6.1,0.25,0,129,38,84.8,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,56,25.1,1.02,Hermetic Vacuum Strip Heat Seal,High Stiffness & Anti-Cracking,Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,Plantain Fried Chips,2.09,33.22,5.76,0.24,0,113,28,74,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,High-Barrier Metallized Cellulosic Laminate with N2 Flush,Triplex: 20µm NatureFlex / 15µm Met-Cellulose / 35µm Bio-PBS Sealant,74,1.4,1.19,Hermetic Lap Heat Seal,Puncture Proof against Sharp Chip Edges,Yes,100% N2 Flush (prevents coconut oil rancidity),Cl. 4(5) & Acid value < 2.0,"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; OML < 10 mg/dm2 in coconut oil medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / TIPA 302,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Fresh Okra (Bhindi),Fresh Horticultural Produce,E008,89.13,0.18,6.03,0.99,58.1,8,9.9,90.7,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled,High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,Monolayer: 25µm Blown PBAT/Cornstarch Matrix with 80µm micro-holes,23,9598.5,43.11,Heat Seal with Airflow Channels,Tear Resistant against Stem Puncture,Yes,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",Cl. 3(2) Fresh Produce Clean Contact Rules,"IS/ISO 17088, IS 9845",Non-toxic compostable matrix; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mater-Bi® VF04A (Novamont) / Bio-Flex®,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.6,12.09,6.11,0.25,0,106,30.1,51.3,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,52,27.7,1.65,Hermetic Vacuum Strip Heat Seal,High Stiffness & Anti-Cracking,Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Desi Cow Ghee,Dairy Fats,Dairy Fat,0.2,99.64,6.4,0.25,0,343,39.7,49.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,Rigid: 300µm Biosynthesized Nodax™ PHA with UV-Absorbing Curcumin Additives,361,1.5,0.61,Induction Heat Seal Wad (FSC Paper / Bio-PBS) + Screw Cap,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),"Cl. 5(1) & Schedule I (Ghee, Butter Oil & Edible Oils)","IS/ISO 17088, IS 9845, IS 15392",Simulant D (Iso-octane / Olive Oil); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Danimer Scientific Nodax™ PHA / Bio-Flex® Resin,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Nashik Red Onions,Fresh Horticultural Produce,E015,87.21,0.09,5.62,0.95,7.3,54,26.3,65.4,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient Ventilated,Extruded Tubular Compostable Bio-Mesh (PLA/PBAT),Open Mesh Netting: 250 Denier Compostable Bio-Filament,165,24201.5,187.43,Ultrasonic Heat Staple / Stitched Bio-Ribbon,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Free Aeration (prevents neck rot),Cl. 3(1) Clean Agricultural Packaging,"IS/ISO 17088, IS 9845",Simulant A; Non-toxic compostable netting,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® Netting / Ecovio® Extruded Mesh,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,B012,30.03,26.21,6.26,0.88,0,16,5.7,81.9,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,Cellulose/Bio-PBS High Barrier Vacuum Pouch,Duplex: 23µm NatureFlex NK / 45µm Bio-PBS Vacuum Seal Layer,81,2.6,3.1,Vacuum Chamber Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"Vacuum Sealed or 30% CO2, 70% N2",Schedule I (Milk & Milk Products) & Cl. 4(4),"IS/ISO 17088, IS 9845",Simulant C & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NK + BioPBS™,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
