commodity_name,commodity_category,initial_moisture_pct,initial_fat_pct,initial_ph,water_activity_aw,preservative_type,packaging_material_tested,actual_film_thickness_microns,actual_film_otr_cc_m2_day_atm,actual_film_wvtr_g_m2_day,storage_condition,storage_temperature_c,storage_rh_pct,headspace_gas_regime,measured_shelf_life_days,primary_failure_mode,kinetic_reaction_order,critical_endpoint_value,fssai_safety_compliance,empirical_research_citation
Bikaneri Bhujia,Indian Snacks & Namkeen,1.73,34.17,5.91,0.22,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - High-Barrier Metallized Cellulose / Bio-PBS Laminate Pouch,35,2.8,1.5,"Storage at 28.0°C, 68.9% RH",28,68.9,99.8% N2 Flushing (<0.5% residual O2 to prevent oil rancidity),72,Loss of Crispness (Moisture > 4.0%) & Oxidative Rancidity (PV > 10 meq/kg),GAB moisture sorption model,Reached critical spoilage limit on Day 72,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Goyal, Kumar et al., CSIR-CFTRI"
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,82.57,0.39,4.21,0.98,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,83,756698.4,1133.44,"Storage at 11.6°C, 89.4% RH",11.6,89.4,Air Headspace (No MAP),3,Over-ripening / Senescence Pulp Softening & Anthracnose Stem Rot,Michaelis-Menten respiration kinetics,Reached critical spoilage limit on Day 3,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,30.49,26.13,6.2,0.88,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Cellulose/Bio-PBS High Barrier Vacuum Pouch,49,6.9,5.01,"Storage at 6.0°C, 87.4% RH",6,87.4,"Vacuum Sealed or 30% CO2, 70% N2",15,Mold Growth (Penicillium) & Free Fatty Acid Hydrolysis,Moisture gain exponential microbial trigger,Reached critical spoilage limit on Day 15,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Besan Ladoo,Traditional Sweets (Mithai),5.4,24.47,6.18,0.42,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,41,101.7,6.34,"Storage at 29.8°C, 45.4% RH",29.8,45.4,Nitrogen Flush (residual O2 < 1.0%),78,Ghee Auto-oxidation & Stale Cardboard Flavor,First-order free radical oxidation,Reached critical spoilage limit on Day 78,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Toor Dal (Split Pigeon Peas),Pulses & Legumes,10.39,1.49,6.44,0.52,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,41,3850.1,40.52,"Storage at 35.7°C, 65.7% RH",35.7,65.7,Air Headspace (No MAP),76,Hard-to-Cook Defect & Pulse Beetle (Callosobruchus maculatus) Infestation,Pectin-phytate cell wall lignification,Reached critical spoilage limit on Day 76,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Dahi (Indian Curd),Dairy Products,87.05,3.95,4.14,0.99,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,37,194,16.26,"Storage at 7.8°C, 87.5% RH",7.8,87.5,Air Headspace (No MAP),5,Synaeresis (Whey Separation > 8%) & Hyper-acidity (pH < 3.8),Lactic acid fermentation kinetics,Reached critical spoilage limit on Day 5,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,30.06,25.27,6.22,0.88,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,48,151.7,24.53,"Storage at 6.6°C, 83.7% RH",6.6,83.7,Air Headspace (No MAP),3,Mold Growth (Penicillium) & Free Fatty Acid Hydrolysis,Moisture gain exponential microbial trigger,Reached critical spoilage limit on Day 3,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Besan (Gram Flour),Grains & Flours,10.68,5.56,6.3,0.54,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,41,8511.9,35.06,"Storage at 35.9°C, 46.3% RH",35.9,46.3,Air Headspace (No MAP),30,Lipase-induced Acidity & Clumping,Enzymatic free fatty acid release,Reached critical spoilage limit on Day 30,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Fresh Okra (Bhindi),Fresh Horticultural Produce,89.3,0.17,6.1,0.99,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,23,7302.4,51.1,"Storage at 9.2°C, 90.3% RH",9.2,90.3,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",8,Weight Loss (>8% causes pod flaccidity) & Ridge Blackening,Transpiration water vapor flux kinetics,Reached critical spoilage limit on Day 8,Compliant across specified shelf life,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Besan (Gram Flour),Grains & Flours,10.39,5.11,6.26,0.54,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,53,386.6,9.13,"Storage at 28.1°C, 64.3% RH",28.1,64.3,Ambient Air,91,Lipase-induced Acidity & Clumping,Enzymatic free fatty acid release,Reached critical spoilage limit on Day 91,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),38.73,12.09,5.76,0.85,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,33,33.7,8.3,"Storage at 31.7°C, 65.3% RH",31.7,65.3,Air Headspace (No MAP),35,Osmophilic Yeast Fermentation & Acid Sourness,Thermal destruction D-value kinetics,Reached critical spoilage limit on Day 35,Failed rapidly; Non-compliant with barrier and PWM norms,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Roasted Urad Dal Papad,Indian Snacks & Namkeen,12.96,1.95,6.45,0.55,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Moisture-Barrier NatureFlex / PLA Hermetic Pouch,37,138.1,4.26,"Storage at 29.7°C, 71.6% RH",29.7,71.6,Ambient Air,135,Mold Growth (Aspergillus) & Loss of Crisp Frying Quality,Equilibrium moisture absorption kinetics,Reached critical spoilage limit on Day 135,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; CSIR-CFTRI Papad Technology & Packaging Standards
Red Chilli Powder (Lal Mirch),Spices & Condiments,9.12,12.47,5.82,0.46,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),76,1.5,0.85,"Storage at 34.5°C, 44.4% RH",34.5,44.4,Nitrogen Flush,289,Capsanthin Carotenoid Decoloration & Pungency Loss,First-order photo-oxidation,Reached critical spoilage limit on Day 289,Compliant across specified shelf life,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Indian Orthodox Black Tea,Beverages & Plantation Crops,6.72,0.52,5.21,0.35,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,56,1.9,0.8,"Storage at 24.8°C, 66.5% RH",24.8,66.5,Ambient Air / N2 Flush,207,Moisture Absorption (Moisture > 10.0%) & Loss of Theaflavins / Thearubigins,Sigmoid moisture sorption isotherm,Reached critical spoilage limit on Day 207,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Toor Dal (Split Pigeon Peas),Pulses & Legumes,10.33,1.48,6.41,0.52,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,32,5380,37.49,"Storage at 27.5°C, 69.6% RH",27.5,69.6,Air Headspace (No MAP),53,Hard-to-Cook Defect & Pulse Beetle (Callosobruchus maculatus) Infestation,Pectin-phytate cell wall lignification,Reached critical spoilage limit on Day 53,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Dahi (Indian Curd),Dairy Products,86.37,3.94,4.2,0.99,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,408,6.5,2.05,"Storage at 4.3°C, 84.9% RH",4.3,84.9,Clean Air Headspace (prevents whey separation),17,Synaeresis (Whey Separation > 8%) & Hyper-acidity (pH < 3.8),Lactic acid fermentation kinetics,Reached critical spoilage limit on Day 17,Compliant across specified shelf life,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Green Chillies (Hari Mirch),Fresh Horticultural Produce,85.42,0.63,5.39,0.98,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,37,294606.8,263.78,"Storage at 10.9°C, 92.2% RH",10.9,92.2,Air Headspace (No MAP),5,"Calyx Rot, Pungency Loss & Red Color Senescence",Chlorophyllase enzymatic breakdown,Reached critical spoilage limit on Day 5,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Besan Ladoo,Traditional Sweets (Mithai),5.13,24.63,6.18,0.42,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,30,2005.4,20.45,"Storage at 23.1°C, 62.5% RH",23.1,62.5,Air Headspace (No MAP),18,Ghee Auto-oxidation & Stale Cardboard Flavor,First-order free radical oxidation,Reached critical spoilage limit on Day 18,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Basmati Rice (Aged),Grains & Flours,11.58,0.54,6.49,0.56,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Woven Jute Bag with Internal Compostable PLA/PBAT Liner,98,125.1,4.15,"Storage at 32.4°C, 50.7% RH",32.4,50.7,Ambient Air,547,Aroma (2-acetyl-1-pyrroline) Volatilization & Sitophilus oryzae Weevil,Volatile aroma loss diffusion kinetics,Reached critical spoilage limit on Day 547,Compliant across specified shelf life,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),52.21,4.48,6.1,0.92,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,34,55.3,10.69,"Storage at 28.3°C, 63.3% RH",28.3,63.3,Air Headspace (No MAP),28,Syrup Turbidity & Yeast Spoilage,Osmophilic microbial growth kinetics,Reached critical spoilage limit on Day 28,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,2.05,32.86,5.81,0.24,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,42,50.9,4.73,"Storage at 34.8°C, 61.7% RH",34.8,61.7,Air Headspace (No MAP),30,Coconut Oil Hydrolytic Rancidity (Free Fatty Acids > 1.0%) & Soggy Texture,Lipid auto-oxidation kinetics,Reached critical spoilage limit on Day 30,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Basmati Rice (Aged),Grains & Flours,11.91,0.58,6.53,0.56,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - Woven Jute Bag with Internal Compostable PLA/PBAT Liner,60,337.8,8.07,"Storage at 25.1°C, 72.1% RH",25.1,72.1,Ambient Air,376,Aroma (2-acetyl-1-pyrroline) Volatilization & Sitophilus oryzae Weevil,Volatile aroma loss diffusion kinetics,Reached critical spoilage limit on Day 376,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
Khoa / Mawa (Desiccated Milk Solids),Dairy Products,29.92,26.06,6.19,0.88,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Cellulose/Bio-PBS High Barrier Vacuum Pouch,65,5.5,3.45,"Storage at 2.8°C, 83.3% RH",2.8,83.3,"Vacuum Sealed or 30% CO2, 70% N2",19,Mold Growth (Penicillium) & Free Fatty Acid Hydrolysis,Moisture gain exponential microbial trigger,Reached critical spoilage limit on Day 19,Compliant across specified shelf life,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CSIR-CFTRI Dairy Technology Division
Indian Orthodox Black Tea,Beverages & Plantation Crops,6.45,0.55,5.23,0.35,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,68,64,24.89,"Storage at 31.6°C, 57.1% RH",31.6,57.1,Air Headspace (No MAP),28,Moisture Absorption (Moisture > 10.0%) & Loss of Theaflavins / Thearubigins,Sigmoid moisture sorption isotherm,Reached critical spoilage limit on Day 28,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),52.54,4.48,6.09,0.92,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,64,213.3,59.49,"Storage at 25.0°C, 65.5% RH",25,65.5,Air Headspace (No MAP),20,Syrup Turbidity & Yeast Spoilage,Osmophilic microbial growth kinetics,Reached critical spoilage limit on Day 20,Failed within days due to rapid environmental equilibration,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Fresh Okra (Bhindi),Fresh Horticultural Produce,89.22,0.2,6.16,0.99,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,17,14720.9,69.9,"Storage at 9.9°C, 92.2% RH",9.9,92.2,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",9,Weight Loss (>8% causes pod flaccidity) & Ridge Blackening,Transpiration water vapor flux kinetics,Reached critical spoilage limit on Day 9,Early failure due to insufficient barrier thickness,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Chakki Fresh Whole Wheat Atta,Grains & Flours,11.4,1.79,6.29,0.58,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,100,304.2,5.52,"Storage at 36.1°C, 75.8% RH",36.1,75.8,Ambient Air (controlled moisture ingress),158,Moisture Caking (Moisture > 14.0%) & Tribolium castaneum Weevil Growth,Hydrolytic lipid cleavage kinetics,Reached critical spoilage limit on Day 158,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Kaju Katli,Traditional Sweets (Mithai),11.21,21.46,6.31,0.68,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,17,160.5,8.5,"Storage at 22.4°C, 52.6% RH",22.4,52.6,100% N2 Flushing (prevents fungal mold & silver vark blackening),25,Fungal Mold (Aspergillus flavus) & Moisture Hardening,BET moisture sorption isotherm kinetics,Reached critical spoilage limit on Day 25,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Green Chillies (Hari Mirch),Fresh Horticultural Produce,85.99,0.67,5.42,0.98,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,45,259761.9,328.48,"Storage at 11.1°C, 93.8% RH",11.1,93.8,Air Headspace (No MAP),4,"Calyx Rot, Pungency Loss & Red Color Senescence",Chlorophyllase enzymatic breakdown,Reached critical spoilage limit on Day 4,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Desi Cow Ghee,Dairy Fats,0.18,99.55,6.42,0.25,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,332,1.1,0.7,"Storage at 30.7°C, 62.0% RH",30.7,62,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),357,Oxidative Rancidity (Peroxide Value exceeding 5.0 meq O2/kg),First-order autoxidation kinetics,Reached critical spoilage limit on Day 357,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Toor Dal (Split Pigeon Peas),Pulses & Legumes,9.88,1.49,6.44,0.52,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,47,5231.6,31.51,"Storage at 34.1°C, 65.2% RH",34.1,65.2,Air Headspace (No MAP),81,Hard-to-Cook Defect & Pulse Beetle (Callosobruchus maculatus) Infestation,Pectin-phytate cell wall lignification,Reached critical spoilage limit on Day 81,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Gujarati Khakhra,Indian Snacks & Namkeen,2.69,12.56,6.05,0.25,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,35,942.5,10.79,"Storage at 28.0°C, 78.4% RH",28,78.4,Air Headspace (No MAP),27,Loss of Brittleness & Soft Texture (Moisture threshold 5.2%),Zero-order water vapor diffusion,Reached critical spoilage limit on Day 27,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Kaju Katli,Traditional Sweets (Mithai),11.59,21.68,6.27,0.68,Clean Label (No Synthetic Additives),Under-gauged Compostable Film (Down-gauged by 30%) - FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,20,158.4,6.88,"Storage at 25.2°C, 52.5% RH",25.2,52.5,100% N2 Flushing (prevents fungal mold & silver vark blackening),29,Fungal Mold (Aspergillus flavus) & Moisture Hardening,BET moisture sorption isotherm kinetics,Reached critical spoilage limit on Day 29,Early failure due to insufficient barrier thickness,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Desi Cow Ghee,Dairy Fats,0.18,99.55,6.41,0.25,Clean Label (No Synthetic Additives),Recommended Certified Compostable (FSSAI/BIS Compliant) - Amber 100% Bio-based PHA Rigid Jar with Bio-PBS Induction Wad,294,1.3,0.67,"Storage at 34.1°C, 58.9% RH",34.1,58.9,100% N2 Headspace Sparging (<0.5% residual O2 to prevent photo-oxidation),188,Oxidative Rancidity (Peroxide Value exceeding 5.0 meq O2/kg),First-order autoxidation kinetics,Reached critical spoilage limit on Day 188,Compliant across specified shelf life,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Gandhi et al., NDRI Karnal Ghee Storage Studies"
Green Chillies (Hari Mirch),Fresh Horticultural Produce,85.42,0.58,5.46,0.98,Clean Label (No Synthetic Additives),Conventional Plain LDPE Polybag (Non-Barrier Baseline) - Polythene,31,291577.7,308.58,"Storage at 11.9°C, 94.9% RH",11.9,94.9,Air Headspace (No MAP),4,"Calyx Rot, Pungency Loss & Red Color Senescence",Chlorophyllase enzymatic breakdown,Reached critical spoilage limit on Day 4,Failed rapidly; Non-compliant with barrier and PWM norms,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),37.86,11.35,5.8,0.85,Clean Label (No Synthetic Additives),Unsealed / Porous Paper Packaging without Bio-Liner - Polythene,83,101.5,36.72,"Storage at 22.2°C, 58.9% RH",22.2,58.9,Air Headspace (No MAP),17,Osmophilic Yeast Fermentation & Acid Sourness,Thermal destruction D-value kinetics,Reached critical spoilage limit on Day 17,Failed within days due to rapid environmental equilibration,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
